"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 01 17:13:59 GMT 2024","Sat Jun 01 17:13:59 GMT 2024","51","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithCorrectNameShouldPass","createBuildConfigRequestWithCorrectNameShouldPass",""
"passed","Sat Jun 01 17:14:04 GMT 2024","Sat Jun 01 17:14:04 GMT 2024","31","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithRootProjectParentIdInLocatorShouldPass","createProjectRequestWithRootProjectParentIdInLocatorShouldPass",""
"passed","Sat Jun 01 17:14:01 GMT 2024","Sat Jun 01 17:14:01 GMT 2024","52","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithPowerShellStepsShouldPass","createBuildConfigRequestWithPowerShellStepsShouldPass",""
"passed","Sat Jun 01 17:14:04 GMT 2024","Sat Jun 01 17:14:04 GMT 2024","57","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithIncorrectIdShouldFail","createProjectRequestWithIncorrectIdShouldFail",""
"passed","Sat Jun 01 17:13:56 GMT 2024","Sat Jun 01 17:13:56 GMT 2024","101","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithCorrectIdShouldPass","createBuildConfigRequestWithCorrectIdShouldPass",""
"passed","Sat Jun 01 17:14:04 GMT 2024","Sat Jun 01 17:14:04 GMT 2024","52","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithCorrectNameShouldPass","createProjectRequestWithCorrectNameShouldPass",""
"passed","Sat Jun 01 17:14:05 GMT 2024","Sat Jun 01 17:14:05 GMT 2024","12","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithoutNameShouldFail","createProjectRequestWithoutNameShouldFail",""
"passed","Sat Jun 01 17:14:00 GMT 2024","Sat Jun 01 17:14:00 GMT 2024","167","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithExistedIdInSameProjectShouldFail","createBuildConfigRequestWithExistedIdInSameProjectShouldFail",""
"passed","Sat Jun 01 17:14:04 GMT 2024","Sat Jun 01 17:14:04 GMT 2024","97","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithProjectParentNameInLocatorShouldPass","createProjectRequestWithProjectParentNameInLocatorShouldPass",""
"passed","Sat Jun 01 17:13:52 GMT 2024","Sat Jun 01 17:13:55 GMT 2024","2940","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithCommandLineStepsShouldPass","createBuildConfigRequestWithCommandLineStepsShouldPass",""
"passed","Sat Jun 01 17:14:03 GMT 2024","Sat Jun 01 17:14:03 GMT 2024","50","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithCorrectNameShouldPass","createProjectRequestWithCorrectNameShouldPass",""
"passed","Sat Jun 01 17:14:04 GMT 2024","Sat Jun 01 17:14:04 GMT 2024","17","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithIncorrectIdShouldFail","createProjectRequestWithIncorrectIdShouldFail",""
"passed","Sat Jun 01 17:14:05 GMT 2024","Sat Jun 01 17:14:05 GMT 2024","436","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"passed","Sat Jun 01 17:14:01 GMT 2024","Sat Jun 01 17:14:01 GMT 2024","73","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithIncorrectIdShouldFail","createBuildConfigRequestWithIncorrectIdShouldFail",""
"passed","Sat Jun 01 17:14:03 GMT 2024","Sat Jun 01 17:14:03 GMT 2024","27","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithCorrectIdShouldPass","createProjectRequestWithCorrectIdShouldPass",""
"passed","Sat Jun 01 17:14:02 GMT 2024","Sat Jun 01 17:14:02 GMT 2024","117","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithoutIdShouldPass","createBuildConfigRequestWithoutIdShouldPass",""
"passed","Sat Jun 01 17:14:02 GMT 2024","Sat Jun 01 17:14:03 GMT 2024","575","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithoutStepsShouldPass","createBuildConfigRequestWithoutStepsShouldPass",""
"passed","Sat Jun 01 17:13:55 GMT 2024","Sat Jun 01 17:13:55 GMT 2024","141","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithCorrectIdShouldPass","createBuildConfigRequestWithCorrectIdShouldPass",""
"passed","Sat Jun 01 17:14:00 GMT 2024","Sat Jun 01 17:14:00 GMT 2024","221","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithExistedNameInOtherProjectShouldPass","createBuildConfigRequestWithExistedNameInOtherProjectShouldPass",""
"passed","Sat Jun 01 17:14:04 GMT 2024","Sat Jun 01 17:14:04 GMT 2024","38","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithEmptyNameShouldFail","createProjectRequestWithEmptyNameShouldFail",""
"passed","Sat Jun 01 17:14:05 GMT 2024","Sat Jun 01 17:14:05 GMT 2024","56","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithoutIdShouldPass","createProjectRequestWithoutIdShouldPass",""
